---,Name,ShortDesc,LongDesc,Icon,ItemClass,BuildingClass,VisualObject,ActionBlueprint_Use,MaxStackSize,EquipLocation,GUICategory,ArmourValue,ArmorType,SoundPhysicalSurface,WeaponType,WeaponArcheType,CompatableAmmunitions,SoundTransmitterType,KnockbackResponseWeapon,WeaponStaminaAttackSingleBasic,WeaponStaminaAttackSingleSpecial,WeaponStaminaAttackDualBasic,WeaponStaminaAttackDualSpecial,WeaponStaminaHeavyChargedRegenModifier,WeaponSpeedHeavyChargedModifier,EncumbranceWeight,ConeAngle,ConeMaxDistance,DamageHealthLight_OnHit,DamageHealthHeavy_OnHit,DamageStaminaLight_OnHit,DamageStaminaHeavy_OnHit,DamageHealthLight_OnBlock,DamageHealthHeavy_OnBlock,DamageStaminaLight_OnBlock,DamageStaminaHeavy_OnBlock,HarvestDamage,WeaponUsage,MaxAttackReach,MinAttackReach,MinAttackDistance,WeaponEffectWidth,WeaponEffectHeight,ItemTier,ArmorPen,DamageConcussiveLightOnHit,DamageConcussiveHeavyOnHit,DamageConcussiveLightOnBlock,DamageConcussiveHeavyOnBlock,DamageTier,CoolDownTime,ReuseTime,SelectionWeight,KnockbackOffenseBasic,KnockbackOffenseSpecial,KnockbackOffenseBasicOnBlock,KnockbackOffenseSpecialOnBlock,KnockbackDefense,VisualStaticMesh,VisualSkeletalMesh,VisualDestructibleMesh,WeaponStatusDefault,WeaponStatusCurrent,WeaponStatusDecrement,PerishRate,PerishTo,MaxDurability,RepairItem1,RepairItem1_Amount,RepairItem1_Weight,RepairItem2,RepairItem2_Amount,RepairItem2_Weight,RepairItem3,RepairItem3_Amount,RepairItem3_Weight,AffectedByDamageTiers,BuildingPieceScore,BuildingMaxHealth,RepairXP,FirstModifier,SecondModifier,ThirdModifier,FourthModifier,FoodAmount,DrinkAmount,BurnTime,ItemFlags,ItemContainerSize,AvatarType,DyeColourID,WarPaintID,StaminaCostMultiplier,StaminaClimbingCostMultiplier,LeavesGhostItem,DLCPackage,SpawnTemplateID
51852,"NSLOCTEXT("""", ""ItemTable_51852_Name"", ""Iron Axe"")","NSLOCTEXT("""", ""ItemTable_51852_ShortDesc"", ""An unadorned axe of iron"")","NSLOCTEXT("""", ""ItemTable_51852_LongDesc"", ""<span style=\""italic\""> Traders had come, and priests of Mitra who walked with bare feet and empty hands, and died horribly, most of them; but soldiers had followed, men with axes in their hands and women and children in ox-drawn wains.</> - Beyond the Black River\n\nThis axe could have been crafted at any smithy the length of Hyboria.\nAxes are a difficult weapon for inexperienced warriors, due to their smaller surface area and uneven balance. No other one-handed weapon shares their raw power, however, and they can wreak havoc on unarmored foes. This axe does not bear any markers of origin."")","/Game/UI/Textures/Icons/icon_iron_axe.icon_iron_axe","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Axe/axe1h.axe1h_C","None","1","1","Weapon","0.000000","0","9","Axe","OneHanded","","8","False","4","6","0","0","0.000000","1.000000","3.620000","35.000000","250.000000","19","19","0","0","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Iron","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Axe/SM_1h_axe_generic_iron.SM_1h_axe_generic_iron","None","/Game/Items/Weapons/Axe/SM_1h_axe_generic_iron_DM.SM_1h_axe_generic_iron_DM","0","0","0","0.000000","0","540.000000","0","0","0","11501","15","1","0","0","0","0","0","0","135.000000","NSLOCTEXT("""", ""ItemTable_51852_FirstModifier"", ""Mid Grade"")","NSLOCTEXT("""", ""ItemTable_51852_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51852_ThirdModifier"", ""Shieldsmash"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51853,"NSLOCTEXT("""", ""ItemTable_51853_Name"", ""Darfari Sword"")","NSLOCTEXT("""", ""ItemTable_51853_ShortDesc"", ""A tooth-edged sword of bone"")","NSLOCTEXT("""", ""ItemTable_51853_LongDesc"", ""<span style=\""italic\"">With an awful shriek the witch sank down, writhing in convulsions, grasping at the naked blade as it was withdrawn, smoking and dripping.</> - A Witch Shall Be Born\n\nA mark of the Darfari wish to emulate more advanced cultures, this \""sword\"" is more like a flat plank embedded with the teeth of various animals. It swings like a plank as well, so while it may not have the lethality of a well whetted blade, it will still leave a nasty mark on anything it managed to hit."")","/Game/UI/Textures/Icons/icon_darfari_bone_sword.icon_darfari_bone_sword","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Sword1h/sword1h.sword1h_C","None","1","1","Weapon","0.000000","0","9","Axe","OneHanded","","1","False","4","6","0","0","0.000000","1.000000","2.520000","35.000000","250.000000","15","15","0","0","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","2","0.072000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Sword1h/SM_1h_sword_dofari_bone.SM_1h_sword_dofari_bone","None","/Game/Items/Weapons/Sword1h/SM_1h_sword_dofari_bone_DM.SM_1h_sword_dofari_bone_DM","0","0","0","0.000000","0","180.000000","0","0","0","10021","23","1","0","0","0","0","0","0","387.000000","NSLOCTEXT("""", ""ItemTable_51853_FirstModifier"", ""Low Grade"")","NSLOCTEXT("""", ""ItemTable_51853_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51853_ThirdModifier"", ""Cripple"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51854,"NSLOCTEXT("""", ""ItemTable_51854_Name"", ""Yog Cleaver"")","NSLOCTEXT("""", ""ItemTable_51854_ShortDesc"", ""A rudimentary axe created from a jawbone bound to a stout branch"")","NSLOCTEXT("""", ""ItemTable_51854_LongDesc"", ""<span style=\""italic\""> On the heels of the shout came a clamor of blood-freezing screams, the shattering impact of axes on the gate.</> - The Black Stranger\n\nBladed weapons are generally frowned upon by the worshippers of Yog, but this jawbone is dull enough that it acts more like a club than a sword.\nYoggites believe that the consumption of human flesh gives them the Blessing of Yog for a period of time, which grants them invulnerability to normal weapons.\n\nWhile Yog is considered a deity in Darfar, scholars in Hyboria classify him as a demon of the Elder night, referencing ancient documents that survived the drowning of Atlantis."")","/Game/UI/Textures/Icons/icon_darfari_bone_club.icon_darfari_bone_club","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/cleaver/butcher_cleaver_1h.butcher_cleaver_1h_C","None","1","1","Weapon","0.000000","0","9","YogTool","OneHanded","","1","False","0","0","0","0","0.000000","1.000000","2.520000","35.000000","250.000000","8","8","0","0","0","0","0","0","4","33","180.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Club/SM_1h_darfari_bone_club.SM_1h_darfari_bone_club","None","/Game/Items/Weapons/Club/SM_1h_darfari_bone_club_DM.SM_1h_darfari_bone_club_DM","0","0","0","0.000000","0","100.000000","0","0","0","10021","23","1","0","0","0","0","0","0","187.000000","NSLOCTEXT("""", ""ItemTable_51854_FirstModifier"", ""Hallowed"")","NSLOCTEXT("""", ""ItemTable_51854_SecondModifier"", ""Tool"")","NSLOCTEXT("""", ""ItemTable_51854_ThirdModifier"", ""Ritual Harvest"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51855,"NSLOCTEXT("""", ""ItemTable_51855_Name"", ""Yoggite Cudgel"")","NSLOCTEXT("""", ""ItemTable_51855_ShortDesc"", ""A macabre weapon of bone fused to rock"")","NSLOCTEXT("""", ""ItemTable_51855_LongDesc"", ""<span style=\""italic\""> He wondered how many poor devils had been bludgeoned in their sleep and dragged out of that room and down the road that ran through the shadowed palm groves to the roasting pit.</>  - Shadows in Zamboula\n\nThis sinister weapon is made of the bones of a human arm bound to a large fragment of stone. \n\nCannibalism is more than a perverted appetite to the men of Darfar: it is an integral element of their cult. This cudgel is one of the ritual objects of the Yoggite religion. It is used to bludgeon human prey so that they can be carried to the sacrifice pit unblemished.\n\nBone is a brittle substance that breaks easily under even a small amount of force. Anything made of bone will fall apart quickly."")","/Game/UI/Textures/Icons/icon_yog_cudgel.icon_yog_cudgel","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Club/BP_club_1h.BP_club_1h_C","None","1","1","Weapon","0.000000","0","9","Axe","OneHanded","","12","False","4","6","0","0","0.000000","1.000000","3.640000","35.000000","250.000000","32","32","0","0","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","3","0.243000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Club/SM_Club_yog_god.SM_Club_yog_god","None","/Game/Items/Weapons/Club/SM_Club_yog_god_DM.SM_Club_yog_god_DM","0","0","0","0.000000","0","220.000000","0","0","0","10001","15","1","15002","15","1","0","0","0","292.000000","NSLOCTEXT("""", ""ItemTable_51855_FirstModifier"", ""Hallowed"")","NSLOCTEXT("""", ""ItemTable_51855_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51855_ThirdModifier"", ""Stun Damage"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51856,"NSLOCTEXT("""", ""ItemTable_51856_Name"", ""Giant\'s Fingerbone"")","NSLOCTEXT("""", ""ItemTable_51856_ShortDesc"", ""A macabre weapon of bone fused to rock"")","NSLOCTEXT("""", ""ItemTable_51856_LongDesc"", ""<span style=\""italic\""> He wondered how many poor devils had been bludgeoned in their sleep and dragged out of that room and down the road that ran through the shadowed palm groves to the roasting pit.</>  - Shadows in Zamboula\n\nThis sinister weapon is made of the bones of a human arm bound to a large fragment of stone. \n\nCannibalism is more than a perverted appetite to the men of Darfar: it is an integral element of their cult. This cudgel is one of the ritual objects of the Yoggite religion. It is used to bludgeon human prey so that they can be carried to the sacrifice pit unblemished.\n\nBone is a brittle substance that breaks easily under even a small amount of force. Anything made of bone will fall apart quickly."")","/Game/UI/Textures/Icons/icon_yog_cudgel.icon_yog_cudgel","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Club/BP_club_1h.BP_club_1h_C","None","1","1","Weapon","0.000000","0","9","Axe","OneHanded","","12","False","4","6","0","0","0.000000","1.000000","2.420000","35.000000","250.000000","31","31","15","20","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","5","0.000000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Club/SM_Club_yog_god.SM_Club_yog_god","None","/Game/Items/Weapons/Club/SM_Club_yog_god_DM.SM_Club_yog_god_DM","0","0","0","0.000000","0","270.000000","0","0","0","10001","15","1","0","0","0","0","0","0","225.000000","NSLOCTEXT("""", ""ItemTable_51856_FirstModifier"", ""Hallowed"")","NSLOCTEXT("""", ""ItemTable_51856_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51856_ThirdModifier"", ""Stun Damage"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51901,"NSLOCTEXT("""", ""ItemTable_51901_Name"", ""Executioner\'s Hood"")","NSLOCTEXT("""", ""ItemTable_51901_ShortDesc"", ""A hood of thick, dark material"")","NSLOCTEXT("""", ""ItemTable_51901_LongDesc"", ""The Executioner was once a man but cursed by the gods to walk the dunes of the Exiled Lands until repentant. This never happened, and as the Executioner became more and more corrupted, he became less and less of a man, until the corruption was all that remained.\n\nThis hood has inlaid metal sheets, providing ample protection."")","/Game/UI/Textures/Icons/icon_cultist_hood.icon_cultist_hood","/Game/Items/BPGameItemArmor.BPGameItemArmor_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","1","3","Armor","192.000000","1000","37","None","None","","0","False","0","0","0","0","0.000000","0.000000","15.310000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","5","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","2400.000000","0","0","0","0","0","0","0","0","0","0","0","0","2.000000","NSLOCTEXT("""", ""ItemTable_51901_FirstModifier"", ""Legendary"")","NSLOCTEXT("""", ""ItemTable_51901_SecondModifier"", ""Armor"")","NSLOCTEXT("""", ""ItemTable_51901_ThirdModifier"", ""Heavy"")","NSLOCTEXT("""", ""ItemTable_51901_FourthModifier"", ""Bonus Strength"")","0","0","0.000000","65","0","None","-1","-1","0.100000","0.400000","False","None","None"
51902,"NSLOCTEXT("""", ""ItemTable_51902_Name"", ""Setite Ritual Knife"")","NSLOCTEXT("""", ""ItemTable_51902_ShortDesc"", ""A formal dagger used for ritualistic killings"")","NSLOCTEXT("""", ""ItemTable_51902_LongDesc"", ""<span style=\""italic\""> She has instituted human sacrifice, and since her mating with Constantius, no less then five hundred men, women and children have been immolated. Some of these have died on the altar she has set up in the temple, herself wielding the sacrificial dagger, but most have met a more horrible doom. </> - A Witch Shall be Born\n\nThe devotees of Set are spread far and wide in the lands of Stygia and the Old Serpent demands human sacrifice as a part of his worship.\n\nThese daggers are crafted in the thousands at the forges of Luxur and then spread to the priesthood of the Serpent god.\n\nWhile the rituals of Set are many and depraved, the fastest is bending a victim over an altar and cutting their heart from their chest."")","/Game/UI/Textures/Icons/icon_sacrificial_knife.icon_sacrificial_knife","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/SkinningKnife/skinning_knife_1h.skinning_knife_1h_C","None","1","1","Weapon","0.000000","0","9","SetTool","OneHanded","","1","False","0","0","0","0","0.000000","1.000000","2.800000","35.000000","250.000000","8","8","0","0","0","0","0","0","4","33","180.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Dagger/SM_stygia_dagger_set_iron.SM_stygia_dagger_set_iron","None","/Game/Items/Weapons/Dagger/SM_stygia_dagger_set_iron_DM.SM_stygia_dagger_set_iron_DM","0","0","0","0.000000","0","100.000000","0","0","0","11501","8","1","0","0","0","0","0","0","37.000000","NSLOCTEXT("""", ""ItemTable_51902_FirstModifier"", ""Hallowed"")","NSLOCTEXT("""", ""ItemTable_51902_SecondModifier"", ""Tool"")","NSLOCTEXT("""", ""ItemTable_51902_ThirdModifier"", ""Ritual Harvest"")","","0","0","0.000000","65","0","None","-1","-1","1.000000","1.000000","False","None","None"
51903,"NSLOCTEXT("""", ""ItemTable_51903_Name"", ""Reinforced Skelos Cultist Robe"")","NSLOCTEXT("""", ""ItemTable_51903_ShortDesc"", ""A robe of thick, dark material"")","NSLOCTEXT("""", ""ItemTable_51903_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThey dress in black robes which serve to protect them against the searing heat of the volcano where they make their home."")","/Game/UI/Textures/Icons/icon_cultist_robe.icon_cultist_robe","/Game/Items/BPGameItemArmor.BPGameItemArmor_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","1","4","Armor","134.000000","75","37","None","None","","0","False","0","0","0","0","0.000000","0.000000","18.330000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","5","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","1215.000000","0","0","0","12515","4","1","11102","25","1","0","0","0","4430.000000","NSLOCTEXT("""", ""ItemTable_51903_FirstModifier"", ""Legendary"")","NSLOCTEXT("""", ""ItemTable_51903_SecondModifier"", ""Armor"")","NSLOCTEXT("""", ""ItemTable_51903_ThirdModifier"", ""Medium"")","NSLOCTEXT("""", ""ItemTable_51903_FourthModifier"", ""Bonus Survival"")","0","0","0.000000","65","0","None","-1","-1","0.087500","0.350000","False","None","None"
51904,"NSLOCTEXT("""", ""ItemTable_51904_Name"", ""Reinforced Skelos Cultist Hood"")","NSLOCTEXT("""", ""ItemTable_51904_ShortDesc"", ""A hood of thick, dark material"")","NSLOCTEXT("""", ""ItemTable_51904_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThis hood covers the head and conceals the face, allowing the wearer to proceed with dark deeds in complete anonymity."")","/Game/UI/Textures/Icons/icon_cultist_hood.icon_cultist_hood","/Game/Items/BPGameItemArmor.BPGameItemArmor_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","1","3","Armor","77.000000","75","37","None","None","","0","False","0","0","0","0","0.000000","0.000000","10.470000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","5","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","810.000000","0","0","0","12515","3","1","11102","25","1","0","0","0","3480.000000","NSLOCTEXT("""", ""ItemTable_51904_FirstModifier"", ""Legendary"")","NSLOCTEXT("""", ""ItemTable_51904_SecondModifier"", ""Armor"")","NSLOCTEXT("""", ""ItemTable_51904_ThirdModifier"", ""Medium"")","NSLOCTEXT("""", ""ItemTable_51904_FourthModifier"", ""Bonus Survival"")","0","0","0.000000","65","0","None","-1","-1","0.050000","0.200000","False","None","None"
51905,"NSLOCTEXT("""", ""ItemTable_51905_Name"", ""Reinforced Skelos Cultist Handwraps"")","NSLOCTEXT("""", ""ItemTable_51905_ShortDesc"", ""Handwraps made of a thick, dark material"")","NSLOCTEXT("""", ""ItemTable_51905_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThese handwraps provide coverage against the warmth of the volcano, while allowing the hands to remain nimble enough to work the volcanic soil that clings to the caldera."")","/Game/UI/Textures/Icons/icon_cultist_gloves.icon_cultist_gloves","/Game/Items/BPGameItemArmor.BPGameItemArmor_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","1","5","Armor","38.000000","75","37","None","None","","0","False","0","0","0","0","0.000000","0.000000","5.240000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","5","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","810.000000","0","0","0","12515","2","1","11102","25","1","0","0","0","5430.000000","NSLOCTEXT("""", ""ItemTable_51905_FirstModifier"", ""Legendary"")","NSLOCTEXT("""", ""ItemTable_51905_SecondModifier"", ""Armor"")","NSLOCTEXT("""", ""ItemTable_51905_ThirdModifier"", ""Medium"")","NSLOCTEXT("""", ""ItemTable_51905_FourthModifier"", ""Bonus Survival"")","0","0","0.000000","65","0","None","-1","-1","0.025000","0.100000","False","None","None"
